inchiKey,smiles,MolView_url,homo,lumo,verticalExcitationEnergy,redoxPotentialS0,redoxPotentialS1,redoxPotentialT1,dipoleMomentS0,dipoleMomentS1,dipoleMomentT1,zero0s1,zero0t1,ionizationPotential,source_directory
LBVNNSILRXREOB-UHFFFAOYSA-N,Sc1ccc(nc1)c1cc2c3cc(c4ccc(cn4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cn1)S)cc(c5ccc4)c1ccc(cn1)S,http://molview.org/?q=Sc1ccc(nc1)c1cc2c3cc(c4ccc(cn4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(cn1)S)cc(c5ccc4)c1ccc(cn1)S,-5.41,-2.57,2.92,0.57,-1.42,0.34,4.26,4.26,4.11,1.99,0.23,0.06,/scratch/abreha.b/dibenzoperylenes
LCACDFZXNYCPLI-UHFFFAOYSA-N,FC(c1ccc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,http://molview.org/?q=FC(c1ccc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-7.47,-2.87,3.79,2.56,,,1.82,1.82,7.06,,,9.06,/scratch/abreha.b/diazirines
LCCDDFQMUIASDI-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1ncc(o1)S)C#N)c1ncc(o1)S,http://molview.org/?q=N#Cc1c(cc(cc1c1ncc(o1)S)C#N)c1ncc(o1)S,-6.36,-3.09,2.84,-0.91,,-2.79,2.24,2.24,9.17,,1.88,7.8,/scratch/adrion.d/workflow/dicyanobenzene_2_5
LCKYCPGALWQSEI-LIVBUOEUSA-N,F/C=C/c1ccc2c(c1)c1cc3c4ccc(cc4c4n3[B@@-]3(n1c2cc1-c2cc(/C=C/F)ccc2-c([n+]31)c4)Cl)/C=C\F,http://molview.org/?q=F/C=C/c1ccc2c(c1)c1cc3c4ccc(cc4c4n3[B@@-]3(n1c2cc1-c2cc(/C=C/F)ccc2-c([n+]31)c4)Cl)/C=C\F,-5.56,-2.44,2.48,,,,6.1,6.1,6.2,2.27,,6.43,/scratch/abreha.b/descriptor_project/subpc
LDKLMPYCERJJNT-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1nnc(nn1)[N+](=O)[O-])c1nnc(nn1)[N+](=O)[O-],http://molview.org/?q=O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1nnc(nn1)[N+](=O)[O-])c1nnc(nn1)[N+](=O)[O-],-7.86,-4.0,1.57,2.88,1.34,,7.36,7.36,7.49,1.54,,9.05,/scratch/adrion.d/workflow/anthracene
LDYHEVMBJKLSPZ-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1occ(n1)C)C#N)c1occ(n1)C,http://molview.org/?q=N#Cc1c(cc(cc1c1occ(n1)C)C#N)c1occ(n1)C,-6.73,-3.05,3.25,-0.92,,-3.39,4.0,4.0,5.91,,2.47,8.09,/scratch/adrion.d/workflow/dicyanobenzene_2_5
LEHCFWCIPPVHMR-VHXPQNKSSA-N,Fc1ccc(o1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(o1)F,http://molview.org/?q=Fc1ccc(o1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(o1)F,-5.92,-2.49,2.65,1.0,,0.52,2.82,2.82,1.74,,0.48,6.71,/scratch/abreha.b/photoswitch_flows/benzene_cis
LEHCFWCIPPVHMR-WCWDXBQESA-N,Fc1ccc(o1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(o1)F,http://molview.org/?q=Fc1ccc(o1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(o1)F,-5.96,-2.73,2.78,1.13,,,4.38,4.38,5.49,,,6.82,/scratch/adrion.d/workflow/benzene_trans
LGDXKEZRUUNCLT-ZEELXFFVSA-N,O/N=C/c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/O,http://molview.org/?q=O/N=C/c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/O,-7.17,-3.26,2.34,2.3,-0.75,-0.09,0.37,0.37,2.7,3.05,2.39,8.21,/scratch/adrion.d/workflow/anthracene
LGEBIZCWKDXNAH-UHFFFAOYSA-N,N#Cc1c(cc(cc1c1ccc(n1C)C)C#N)c1ccc(n1C)C,http://molview.org/?q=N#Cc1c(cc(cc1c1ccc(n1C)C)C#N)c1ccc(n1C)C,-6.13,-2.46,2.72,1.16,,,3.46,3.46,14.62,,,7.13,/scratch/adrion.d/workflow/dicyanobenzene_2_5
